pathway,keyword,status,evidence,notes
EV,EVENTLOC,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
EV,INCLUDED,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
EV,FINISHED,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,STARTING,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,RECTABLE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,MAXTABLE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,DAYTABLE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,MAXIFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,POSTFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,PLOTFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,TOXXFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,SEASONHR,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,RANKFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,EVALFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,SUMMFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,FILEFORM,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,MAXDAILY,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,MXDYBYYR,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,MAXDCONT,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,NOHEADER,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU,FINISHED,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
OU/EVENT,EVENTOUT,complete-source-verified,EV_OUCARD+OEVENT,Event-mode output subdispatcher; not an ordinary OUCARD record.
