case_id,outcome,diagnostic_codes,deck_sha256,main_output_sha256,generated_outputs
co_gasdepvd_no_alpha,rejected,E198,8ad69d73099cccea5f97858314c62e7450eef9fd4a55d0ddfd3564166357530a,e3a84e20e4cc7a4e2e60ad4392335d8acd179434544eb7214c2a38e96b4fd00e,
co_gasdepvd_dfault_alpha,rejected,"E196,E198,E204,E713,W206,W214,W228,W403,W476",410aee63e717bb9959a241c52e8c67fbfa0bff8e7b173f68f04906ecda3eebdf,4d3d8a2147dfb4d46f17a99472453fa27079ca8f1aed550dd4bea6e6e2562c43,
co_low_wind_alpha_control,accepted,"W111,W403,W471,W476",06c8d793b84a203a8b05ab3a853ffdf59da08ae9be6b85f37113bb4b4f477bf9,deec503556b8c8665bcc795b0d4c009e71b5ba4e633ab15158cf92443a07309a,
co_low_wind_no_alpha,rejected,E198,8ac52eadeacc32a95cc4fc7a064331933c2088c63d6f6d87e27a379e05e210df,f944fcfac757112c7143771a398af96cd103af8b7a302403797094e3cf359de3,
co_low_wind_dfault_alpha,rejected,"E133,E198,E204,E713,W206,W214,W228,W403,W476",be5b4cde83370f47f95b86921c0ebbcf3b35d734e897d2c15e3baa4bd3fe2d38,ecf27ab93fdde9846e70a8877dec8fd2e21d2e9e2b0dd2a94d1cea60ccccecb9,
co_awmadwnw_alpha_control,accepted,"W403,W471,W476",629bfc69147a0773bb52392260beffa7ecd26dfc978efd25d59ec910fcb72fe2,b5c92a92579ecce92ce8ce7cf540633ac12947f6e5d814e83ed2fcb9ef75074d,
co_awmadwnw_no_alpha,rejected,E198,7d9ba1fe5c0a6b025e1ab5f5a1e190e0a1d0f0f582ea510617e762fa40e9f01f,434ff7329440aa90b65408c13aab3577b67810fd1a200da475580cc7ff77ad73,
co_awmadwnw_dfault_alpha,rejected,"E122,E198,E204,E713,W206,W214,W228,W403,W476",d993b07f1e483793b31ee805682edcb52f5308b567acf45c85eb9d93719d4df5,f5b82db26a976f7c2e507cdc95b76f412fb626fc9fb52fbc796c7b6511a0a823,
co_ord_dwnw_alpha_control,accepted,"W403,W471,W476",6a873313ea999e387aea3a1e5cf3b3e4baae3853fd9eb10b65b73c6b7ae6bd04,3e5a2dd71aa647de43ca97bb3167285ff63191b45a15732884fc48a3d1945ca3,
co_ord_dwnw_no_alpha,rejected,E198,b87396a811da8e26ef08b4e0c38c1d0f1fa49577394ee342ac8763ddc894bef1,1daf228fa69919a91d44b25e23b6cf56fe7f2231634dab9c8995c148c7efd85d,
co_ord_dwnw_dfault_alpha,rejected,"E123,E198,E204,E713,W206,W214,W228,W403,W476",58b58ec7c86b4af189bbb573a5dd3afb601618c08fa5a31ce12256a79f620565,302094abec2147da2772a7f8fa1812f325acec693dcedb630dc1c1e3ce12f4b3,
co_arcft_valid_control,accepted,W396,d4e552f9ee8eea30343859cc9852996602c9cb3597cf7cbd739c508fa03f348e,4b1bce13cfcc5f828f52cf63eff4fa6440d7bd480b49649636968fe12c7c0f00,
co_arcftopt_no_payload,accepted,W396,5849bfdfcc371b0d142bdb3fb5d869935292f0198c0a21731297dafef8978612,9497dfce3751b201f5b71702b785d9e9a0b8ec7cf16f936752459630e3554883,
co_arcftopt_repeated_same,accepted,W396,3cdfde1fc9a8cb19f695fc0a75d5323f1ae7c295bc637d26631b83a28523589b,bfa19eb6be8494f4e79b3b04a2fdae5eac361fdd0d0229f52ad7cd3be83afee2,
co_arcftopt_repeated_different,accepted,W396,f9329135c80c752401f117ca9c890fce7ff16007074825051d68039cafab9001,ea399b4f3ec0e1d0310a40485266e5e290d625222483c4493bc9b914c39ad77a,
co_arcftopt_extra_fields,accepted,W396,3a47e2c0a49cec628458c1310cd55f07261c74f00283f338295e35cf3e7f5b73,9c4949002533a659f34ca6757b0eb1478ee58bd7148e707c02e71167a12083d9,
co_arcft_no_alpha,rejected,"E198,W396",1ba23dc80de868fecca8cc72c1c7bc36454de8d7cde4ef41f47b476cd9b6eb41,a2d390184c2b0be2a5ebbe15be395493fddb76c311e3ad63d1fc0d5328836d2d,
co_arcft_dfault_alpha,rejected,"E198,E204,W206,W228,W396",e706674e7dd747d66103c2f78687fa07348b866c1cbb7681b075a53306db0bb1,f26d81924f4b460898b8656e987fe854f59b2c5b420ebadb1b04c9faadead3b1,
co_arcft_missing_arcftsrc,rejected,"E346,E822,W396",3962c07120464c55ef73103e4b7c41f57c72f51f4d0f904e6266174f331b17b9,61e671df40816bffa703bdc5de72985ad338e7926adb075bd644ac01c22c3f81,
co_arcft_missing_houremis,rejected,"E823,W396",618f675349af360fd09d1f22c7ce8f8e8ed12da919f97df735ed561daf199a0c,20fcd8145c9120bac30ecf5270ee8850f1bc8c214224b3de36c735ad11a4e3fe,
co_arcftsrc_without_arcftopt,rejected,"E346,E821,W396",0f3c79b2a1a0bd8ae38993a15377c96ea438f4fe1e26225afe3a38eeb816f257,8bdcc688ee2f69c83d0a4139572e006eef9bb51c6b7703fd47b4333ce70e8dc4,
ou_maxdcont_secondary_rank_control,accepted,"I440,I460,W187,W298,W361",dff7866d3ffd5c8bba5af4e46d539d3b6d236abc524a6b04379d13642f61ad61,e97229b3661e9bbca96549d92e158382075d25face03715a4ff72c0251e8df0e,Outputs/mx_sec.out|10944|b25e0b6349f118a7b02ede9f8c3d8d76a0c3788599193539fc86555fc89184a6
ou_maxdcont_secondary_rank_unit,accepted,"I440,I460,W187,W298,W361",41b1ff4cdf85a1a854a3de72db003f027e41a27db7354d4ebc7e0127adb0ddfc,b180e44bc8c74376f2951db754b6d96150f7f20724b3440594fc990111d3c212,Outputs/mx_secu.out|10944|3e040b78ccca3e9422ae2a74453b31e015d3546ad06d4f5916ef706cb5823a73
ou_maxdcont_thresh_control,accepted,"I440,I460,W187,W273,W298,W361,W415",3014ab003f3b73bddd14c7c02a9a1ada28692ac9f149180d9c656682ab9c7498,b894caa6bf0094e7e575aab4ce4e429d4a4b4677596398b44add446e1578dc51,Outputs/mx_thr.out|197550|2eab3960bed2c97cc6e9be55b3bc24d8640c6e3178f9e6f9a672801fdaa1e27a
ou_maxdcont_thresh_unit,accepted,"I440,I460,W187,W273,W298,W361,W415",1881bea9375ddbc7e00e012a0e733fca3d85f19ac90064006eb6e2c8ea5280a0,cd2367a7bcd3dd0ef4975a62e16b9f4e156ff88403314539a96c661e85acc47d,Outputs/mx_thru.out|197550|4ed4c9ca052aeb58ac295822c6ebee8f8237f5020e2252c1ca3b36d9fc20f1b2
